time,x,y,x_gt,y_gt,error_x,error_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,-250.02771139610272,300.24846765026894,-249.99999998892397,299.99999998385306,0.02771140717874232,0.24846766641587692
1.0,-250.11699450716262,300.0994846241191,-249.99999999085833,300.00000003643214,0.11699451630428825,0.099484587686959003
1.5,-249.88775786655879,299.90558821703888,-250.00000013909843,300.00000033241071,0.11224227253964614,0.094412115371824257
2.0,-250.19717207137617,300.11176833565798,-250.00000049179559,300.00000082463021,0.19717157958058351,0.11176751102777871
2.5,-250.42737206603908,299.70353253580157,-250.00000103944129,300.0000013668477,0.4273710265977968,0.29646883104612698
3.0,-250.08228007487975,299.81610547420195,-250.0000017433874,300.00000177183472,0.082278331492346979,0.18389629763277071
3.5,-250.01946707783569,300.24326224110229,-250.00000257765328,300.0000018756777,0.019464500182408528,0.24326036542458951
4.0,-250.26886003375452,300.30825128136854,-250.00000353696859,300.00000155145318,0.26885649678592927,0.30824972991536015
4.5,-250.07815406158414,300.4581758080667,-250.00000463650375,300.00000071073674,0.07814942508039735,0.45817509732995632
5.0,-249.96071370258227,300.44405446826698,-250.00000590997112,299.99999930253523,0.039292207388854195,0.44405516573175419
5.5,-250.13111168799634,300.6134538563532,-250.00000739942331,299.99999729875447,0.13110428857302736,0.61345655759873807
6.0,-250.53654042588457,300.76724554119176,-250.00000914960941,299.99999468644324,0.53653127627515573,0.76725085474851085
6.5,-251.02430532512719,301.02444993211799,-250.00001120411719,299.99999146246029,1.0242941210100014,1.0244584696577022
7.0,-251.16421637047137,300.80898575262336,-250.00001360325089,299.99998763056249,1.1642027672204733,0.80899812206087063
7.5,-251.31032703693683,300.8458831609704,-250.00001638308399,299.9999832000986,1.310310653852838,0.84589996087180452
8.0,-251.58971344590859,301.15756000539415,-250.00001957516071,299.99997818553135,1.5896938707478796,1.1575818198627985
8.5,-251.8096874622982,301.38653202152619,-250.00002320647582,299.99997260624281,1.8096642558223834,1.3865594152833864
9.0,-251.86784568019999,301.71400144299758,-250.00002729952649,299.99996648632629,1.8678183806734978,1.7140349566712985
9.5,-252.10377192092051,301.72140777526693,-250.0000318723487,299.99995985425477,2.1037400485718081,1.7214479210121567
10.0,-252.03412651599189,301.47949297465379,-250.00003693852696,299.99995274242031,2.0340895774649255,1.4795402322334894
10.5,-251.96968680591934,301.55418984850684,-250.00004250719246,299.99994518659122,1.9696442987268767,1.5542446619156181
11.0,-252.49935672085124,301.27453049820747,-250.00004858303541,299.99993722533247,2.4993081378158308,1.2745932728749949
11.5,-252.64450688040662,301.44744965270036,-250.00005516634687,299.99992889943081,2.6444517140597554,1.4475207532695435
12.0,-252.91403461172712,301.80417140175791,-250.00006225310085,299.99992025134964,2.9139723586262676,1.8042511504082768
12.5,-252.88032172742714,301.47464280542715,-250.000069835077,299.99991132472167,2.8802518923501452,1.4747314807054863
13.0,-252.9194665742626,301.61169318906019,-250.00007790002067,299.99990216388619,2.9193886742419295,1.611791025174
13.5,-253.04169034976334,301.38599962435273,-250.00008643183443,299.99989281346507,3.0416039179289101,1.386106810887668
14.0,-252.62838587167795,301.00019445959322,-250.00009541079629,299.99988331797857,2.628290460881658,1.0003111416146453
14.5,-252.55449601695341,301.24848098307353,-250.00010481379786,299.99987372149485,2.5543912031555465,1.2486072615786838
15.0,-252.62888934380484,301.75510988494642,-250.00011461459962,299.99986406731449,2.6287747292052188,1.7552458176319305
15.5,-251.98723234659738,302.02139110303278,-250.00012478409769,299.99985439768506,1.9871075624996877,2.021536705347728
16.0,-252.10224314052974,302.1956327873848,-250.00013529060072,299.99984475354785,2.1021078499290127,2.1957880338369478
16.5,-251.98802706961021,302.5687142434524,-250.00014610011365,299.99983517431338,1.9878809694965582,2.5688790691390295
17.0,-252.10791883588237,303.13369178198121,-250.00015717662578,299.99982569766695,2.107761659256596,3.1338660843142634
17.5,-252.49864675329877,303.05888882662333,-250.00016848240088,299.99981635940162,2.4984782708978912,3.0590724672217107
18.0,-252.36832128520868,303.04714827511015,-250.00017997826825,299.99980719327874,2.36814130694043,3.0473410818314051
18.5,-252.38882350614662,303.18875632339115,-250.00019162391246,299.99979823091377,2.388631882234165,3.1889580924773782
19.0,-252.66161180925653,302.96359201688205,-250.00020337815877,299.99978950168833,2.6614084310977546,2.96380251519372
19.5,-252.62804654435161,303.00912275939515,-250.00021519925528,299.99978103268415,2.6278313450963253,3.0093417267109999
20.0,-252.32735000310112,302.94889592727367,-250.00022704514706,299.99977284863849,2.3271229579540602,2.9491230786351821
20.5,-252.50440680250961,302.69330626407231,-250.00023887374419,299.99976497192165,2.5041679287654119,2.6935412921506554
21.0,-252.61465275548377,302.67109573931606,-250.00025064317995,299.99975742253122,2.6144021123038215,2.6713383167848406
21.5,-252.61098880029456,302.37450437228989,-250.00026231205894,299.99975021810565,2.6107264882356276,2.3747541541842452
22.0,-252.58747456039734,302.49642682054048,-250.00027383969496,299.99974337395219,2.5872007207023842,2.4966834465882926
