time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.5;0.0;0.0;0.0;-249.99999999752279;299.99999999614198;-1.0000000000000016;249.99999999752279;299.99999999614198;1.0000000000000016;390.5137641574834
1.0;0.0;0.0;0.0;-249.99999998817674;300.00000000351582;-1.0000004532809925;249.99999998817674;300.00000000351582;1.0000004532809925;390.5137641583257
1.5;-250.07999985847019;299.92000022732719;-1.0000005009946802;-250.00000008699189;300.00000022599158;-1.0000006851382823;0.079999771478298953;0.079999998664391114;1.8414360214435987e-07;0.11313692245644895
2.0;-250.07999985847019;299.92000022732719;-1.0000005009946802;-250.00000037342409;300.00000066413753;-0.99999984989165713;0.079999485046101881;0.080000436810337305;6.5110302305271262e-07;0.11313702973788108
2.5;-250.14250105913894;299.85750100769667;-1.0000355711415019;-250.00000085713847;300.00000120088521;-0.99999902893951065;0.14250020200046265;0.14250019318853901;3.6542201991229817e-05;0.2015257153920465
3.0;-250.14250105913894;299.85750100769667;-1.0000355711415019;-250.00000150476961;300.00000165616433;-0.99999859154570203;0.14249955436932282;0.14250064846766008;3.6979595799846443e-05;0.20152557945990313
3.5;-250.20500365236674;299.79500109967461;-1.0001450478104177;-250.00000228635128;300.00000185876064;-0.99999889695083544;0.20500136601546615;0.20500075908603321;0.00014615085958225027;0.2899153197989556
4.0;-250.20500365236674;299.79500109967461;-1.0001450478104177;-250.00000319320324;300.00000167480999;-1.0000006023952193;0.20500045916350018;0.2050005751353865;0.00014444541519842424;0.2899145476300959
4.5;-250.26750748812344;299.73249947904935;-0.99989229197836382;-250.00000423269017;300.00000100133633;-1.0000024783685282;0.26750325543326881;0.26750152228697743;0.00011018639016435738;0.37830552234178066
5.0;-250.26750748812344;299.73249947904935;-0.99989229197836382;-250.00000543507818;299.99999977901291;-1.000004668849277;0.26750205304526276;0.26750029996355806;0.00011237687091314452;0.3783038084563586
5.5;-250.33001257784733;299.66999568330425;-1.0000436107437569;-250.0000068397222;299.9999979721124;-1.0000071323263893;0.33000573812512357;0.33000228880814575;3.6478417367646898e-05;0.46669615291407474
6.0;-250.33001257784733;299.66999568330425;-1.0000436107437569;-250.0000084904911;299.99999556255591;-1.0000098193695057;0.33000408735622955;0.32999987925165897;3.3791374251190831e-05;0.46669328163129203
6.5;-250.3925190068143;299.60748957841633;-1.0001046779230058;-250.00001043132136;299.99999254377661;-1.0000126896773871;0.39250857549293983;0.39250296536027918;9.1988245618734865e-05;0.5550869914832689
7.0;-250.3925190068143;299.60748957841633;-1.0001046779230058;-250.00001270356455;299.99998891707099;-1.0000157091823119;0.39250630324974622;0.39249933865465891;8.8968740693973203e-05;0.5550828198121098
7.5;-250.45502683698584;299.54498116388157;-0.99996701633880603;-250.00001534466818;299.99998468978691;-1.0000188474995024;0.45501149231765226;0.45500352590534021;5.1831160696402812e-05;0.6434777924791948
8.0;-250.45502683698584;299.54498116388157;-0.99996701633880603;-250.00001838766443;299.99997987457175;-1.0000220762088738;0.45500844932141149;0.45499871069017672;5.5059870067819539e-05;0.6434722361650019
8.5;-250.51753608928209;299.48247051217339;-0.99999782460264486;-250.00002186105405;299.99997448907737;-1.0000253679271442;0.51751422822803761;0.51750397690398131;2.7543324499390565e-05;0.7318683920545637
9.0;-250.51753608928209;299.48247051217339;-0.99999782460264486;-250.00002578882913;299.99996855574744;-1.0000286959524058;0.51751030045295465;0.51749804357405083;3.0871349760985822e-05;0.7318614193485797
9.5;-250.58004674655962;299.41995775371771;-0.99994741376000651;-250.0000301905109;299.99996210152148;-1.0000320342402582;0.58001655604871871;0.58000434780376509;8.4620480251706987e-05;0.8202586518425228
10.0;-250.58004674655962;299.41995775371771;-0.99994741376000651;-250.00003508116603;299.99995515741222;-1.0000353575230065;0.58001166539358451;0.57999740369450592;8.7943763000031261e-05;0.8202502837665542
10.5;-250.64255876350509;299.35744307339189;-0.99984174056205899;-250.000040471408;299.99994775798865;-1.0000386414548292;0.64251829209709399;0.64250468459675858;0.00019690089277024647;0.9086484821855525
11.0;-250.64255876350509;299.35744307339189;-0.99984174056205899;-250.00004636740468;299.99993994080967;-1.0000418627273095;0.64251239610041466;0.64249686741777623;0.00020012216525056026;0.9086387862254355
11.5;-250.70507207831051;299.2949267070266;-1.0002318023885035;-250.000052770911;299.99993174584819;-1.0000449991406191;0.70501930739951035;0.70500503882158227;0.00018680324788444835;0.9970377944016763
12.0;-250.70507207831051;299.2949267070266;-1.0002318023885035;-250.00005967933842;299.99992321493636;-1.0000480296355794;0.70501239897208734;0.70499650790975465;0.00018377275292413842;0.9970268765894684
12.5;-250.76758658781119;299.23240890816658;-1.0000645557490115;-250.000067085864;299.99991439124744;-1.000050934299753;0.76751950194719143;0.76750548308086763;1.3621449258538476e-05;1.085426576334855
13.0;-250.76758658781119;299.23240890816658;-1.0000645557490115;-250.00007497957859;299.99990531881815;-1.0000536943600329;0.76751160823260989;0.76749641065157448;1.0861388978655739e-05;1.0854145794362757
13.5;-250.83010217509207;299.16988995861101;-1.0000188602057054;-250.00008334566792;299.99989604211197;-1.0000562921707798;0.83001882942414795;0.83000608350096172;3.7431965074441464e-05;1.1738148734993905
14.0;-250.83010217509207;299.16988995861101;-1.0000188602057054;-250.00009216562199;299.99988660562263;-1.0000587112026988;0.83001000947007242;0.82999664701162601;3.9850996993440191e-05;1.1738019643275237
14.5;-250.89261869714244;299.10737014760434;-0.99992461947715416;-250.00010141746631;299.99987705351123;-1.0000609360345163;0.89251727967612737;0.89250690590688464;0.00013631655736212611;1.262202713590079
15.0;-250.89261869714244;299.10737014760434;-0.99992461947715416;-250.00011107601145;299.99986742928058;-1.0000629523480535;0.89250762113098858;0.89249728167624198;0.00013833287089937141;1.2621890788278753
15.5;-250.95513599751362;299.04484977265292;-1.0001702246977862;-250.00012111311611;299.99985777547863;-1.000064746926483;0.9550148843975137;0.95500800282570708;0.00010547777130320846;1.350590139904591
16.0;-250.95513599751362;299.04484977265292;-1.0001702246977862;-250.00013149795981;299.99984813343519;-1.0000663076549738;0.95500449955380873;0.95499836078226963;0.00010391704281231817;1.350575978634151
16.5;-251.01765388548057;298.98232911292479;-0.99999232747158739;-250.00014219732506;299.99983854302707;-1.0000676235229613;1.0175116881555084;1.0175094301022796;7.5296051373907602e-05;1.4389772345487728
17.0;-251.01765388548057;298.98232911292479;-0.99999232747158739;-250.00015317588304;299.99982904247435;-1.0000686846279025;1.0175007095975275;1.0174999295495581;7.6357156315154384e-05;1.4389627536858773
17.5;-251.0801721670602;298.91980844714379;-1.0000153068270106;-250.00016439648343;299.99981966816313;-1.0000694821798402;1.0800077705767706;1.0800112210193333;5.4175352829588519e-05;1.5273640774120774
