time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
12;-250.459771554;299.3638110525;-0.9999645347;-250.0000622497;299.9999202538;-1.0000490648;0.4597093043;0.6361092014;0.00008453;0.7848360132
12.5;-250.4690331825;299.3369915956;-1.0000132881;-250.0000698316;299.9999113273;-1.0000519303;0.468963351;0.6629197317;3.86421357996269E-05;0.81202783
13;-250.4518991515;299.3551684186;-1.0000581041;-250.0000778964;299.9999021666;-1.0000546445;0.4518212551;0.644733748;3.4596386400132E-06;0.7872890527
13.5;-250.4984837804;299.2281374751;-1.0001361522;-250.0000864281;299.9998928162;-1.0000571901;0.4983973523;0.7717553411;0.000078962;0.9186981189
14;-250.4913629834;299.2682592611;-1.0000342;-250.0000954069;299.9998833208;-1.0000595511;0.4912675765;0.7316240597;2.53511541425944E-05;0.8812590976
14.5;-250.411178363;299.2663950992;-0.9999510613;-250.0001048098;299.9998737244;-1.0000617124;0.4110735532;0.7334786252;0.000110651;0.8408164913
15;-250.3449660584;299.2535860086;-1.0000226164;-250.0001146105;299.9998640702;-1.0000636599;0.3448514479;0.7462780616;4.10435248219265E-05;0.8221030763
15.5;-250.2638437185;299.3347296758;-1.000115465;-250.0001247799;299.9998544006;-1.000065381;0.2637189386;0.6651247248;0.000050084;0.7154988334
16;-250.3340579478;299.2800595104;-1.00015431;-250.0001352863;299.9998447565;-1.0000668638;0.3339226614;0.7197852462;8.74461781923408E-05;0.7934703221
16.5;-250.3083457735;299.2210899773;-1.00002998;-250.0001460958;299.9998351773;-1.0000680978;0.3081996777;0.7787452;3.81177798394194E-05;0.8375148532
17;-250.3200523054;299.2335980594;-1.0000675977;-250.0001571723;299.9998257007;-1.0000690734;0.3198951332;0.7662276412;1.47565186980891E-06;0.8303238491
17.5;-250.3944035373;299.2483997422;-1.0000630627;-250.000168478;299.9998163624;-1.0000697821;0.3942350594;0.7514166202;6.71943051466783E-06;0.8485565503
18;-250.3178940257;299.1941782664;-0.9999718464;-250.0001799738;299.9998071962;-1.0000702169;0.3177140519;0.8056289298;9.83704586049461E-05;0.8660139728
18.5;-250.3342844379;299.1826159788;-1.0002492402;-250.0001916194;299.9997982338;-1.0000703714;0.3340928185;0.8171822551;0.0001788688;0.8828391028
19;-250.377303933;299.119555887;-1.0001169467;-250.0002033737;299.9997895046;-1.0000702406;0.3771005594;0.8802336176;4.67060885187554E-05;0.9576095528
19.5;-250.417065862;299.1115225359;-0.9999342233;-250.0002151948;299.9997810355;-1.0000698207;0.4168506672;0.8882584996;0.0001355974;0.9812072459
20;-250.4406082279;299.1262181147;-1.0000771932;-250.0002270407;299.9997728514;-1.0000691089;0.4403811872;0.8735547368;8.08429500587238E-06;0.9782808739
20.5;-250.3878825706;299.2019114671;-1.0001896858;-250.0002388693;299.9997649747;-1.0000681035;0.3876437013;0.7978535075;0.0001215823;0.887038823
21;-250.3492364529;299.291276104;-1.0001115358;-250.0002506388;299.9997574252;-1.0000668041;0.3489858141;0.7084813212;4.47317497862532E-05;0.7897701456
21.5;-250.3368946815;299.3208404182;-1.0001413853;-250.0002623077;299.9997502207;-1.0000652112;0.3366323738;0.6789098025;0.000076174;0.7577861709
22;-250.3342999539;299.3162954349;-0.9999157055;-250.0002738354;299.9997433765;-1.0000633267;0.3340261186;0.6834479416;0.0001476211;0.7607066179
