time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
12.5;-250.0000871583;302.0415749482;-1.0000322706;-250.0000683555;299.9999130962;-1.0000513421;1.88027374861122E-05;2.041661852;1.90714811456605E-05;2.0416618521
13;-250.0000871583;302.0415749482;-1.0000322706;-250.0000763177;299.999903983;-1.0000540857;1.08405486116681E-05;2.0416709652;2.1815085594179E-05;2.0416709653
13.5;-250.0001027772;302.208222628;-0.999937698;-250.0000847498;299.9998946712;-1.000056664;1.80273714249779E-05;2.2083279568;0.0001189661;2.2083279601
14;-250.0001027772;302.208222628;-0.999937698;-250.0000936328;299.9998852054;-1.0000590608;9.14436702714738E-06;2.2083374226;0.0001213628;2.2083374259
14.5;-250.0001193283;302.3748694531;-0.999940675;-250.0001029444;299.99987563;-1.0000612607;1.63839020217438E-05;2.3749938231;0.0001205857;2.3749938262
15;-250.0001193283;302.3748694531;-0.999940675;-250.000112659;299.9998659884;-1.0000632498;6.66928869463845E-06;2.3750034647;0.0001225748;2.3750034679
15.5;-250.0001366481;302.5415157154;-0.9999232514;-250.0001227481;299.999856323;-1.000065015;1.3899925363603E-05;2.5416593924;0.0001417636;2.5416593964
16;-250.0001366481;302.5415157154;-0.9999232514;-250.0001331807;299.999846675;-1.0000665444;3.46738073631059E-06;2.5416690404;0.000143293;2.5416690444
16.5;-250.0001545582;302.7081617048;-1.0000999987;-250.0001439231;299.9998370842;-1.0000678273;1.06351155864104E-05;2.7083246206;3.21713698641091E-05;2.7083246208
17;-250.0001545582;302.7081617048;-1.0000999987;-250.0001538269;299.9998285327;-1.000068763;7.31345693338881E-07;2.7083331721;3.12356925973312E-05;2.7083331723
17.5;-250.0001728575;302.8748076936;-1.0001290115;-250.0001661935;299.9998182239;-1.0000696155;0.000006664;2.8749894696;0.000059396;2.8749894703
18;-250.0001728575;302.8748076936;-1.0001290115;-250.0001776453;299.9998090248;-1.0000701047;4.7877892939141E-06;2.8749986687;5.89068029233086E-05;2.8749986693
18.5;-250.0001913308;303.0414539368;-0.9999483068;-250.0001880881;299.9998009136;-1.0000703067;3.24265312201533E-06;3.0416530232;0.0001219999;3.0416530257
19;-250.0001913308;303.0414539368;-0.9999483068;-250.0002009819;299.9997912488;-1.0000702414;9.65110194783847E-06;3.041662688;0.0001219346;3.0416626905
19.5;-250.0002097666;303.2081006807;-1.0001614837;-250.0002127842;299.9997827292;-1.0000698796;3.01751779829829E-06;3.2083179515;9.16041288763214E-05;3.2083179528
20;-250.0002097666;303.2081006807;-1.0001614837;-250.000223436;299.9997753002;-1.0000693051;1.36693636818563E-05;3.2083253804;9.21786381467005E-05;3.2083253818
20.5;-250.0002279369;303.3747481376;-1.0001854506;-250.000236447;299.9997665527;-1.0000682806;8.51007675350957E-06;3.3749815848;0.0001171699;3.3749815869
21;-250.0002279369;303.3747481376;-1.0001854506;-250.0002482236;299.9997589392;-1.0000670409;2.0286708348749E-05;3.3749891984;0.0001184097;3.3749892005
21.5;-250.0002456139;303.5447298288;-1.0000420986;-250.0002599083;299.9997516671;-1.0000655079;1.42943872276646E-05;3.5449781617;2.34092594570967E-05;3.5449781618
22;-250.0002456139;303.5447298288;-1.0000420986;-250.0002714602;299.9997447521;-1.000063683;2.58462698070616E-05;3.5449850767;2.15843562629825E-05;3.5449850769
22.5;-250.0002625817;303.7080459235;-1.0001605681;-250.0002817103;299.9997388452;-1.0000617931;1.912862444442E-05;3.7083070783;9.87749372127755E-05;3.7083070797
23;-250.0002625817;303.7080459235;-1.0001605681;-250.000294007;299.9997320453;-1.000059169;3.14252925477376E-05;3.7083138782;0.0001013991;3.7083138797
23.5;-250.0002786254;303.8746965568;-1.0001409946;-250.000303846;299.9997268331;-1.0000567688;2.52205674371453E-05;3.8749697237;8.42258238293869E-05;3.8749697247
24;-250.0002786254;303.8746965568;-1.0001409946;-250.0003103162;299.9997128949;-1.0004154746;3.16907787691889E-05;3.8749836619;0.00027448;3.8749836718
24.5;-250.0002633118;304.0413019249;-1.0012909686;-250.0003019615;299.9996814043;-1.0023689886;3.86496337796416E-05;4.0416205207;0.00107802;4.0416206646
25;-250.0002633118;304.0413019249;-1.0012909686;-250.0003066764;299.9996727815;-1.0065339542;4.33645389819048E-05;4.0416291435;0.0052429856;4.0416325444
25.5;-250.0002877877;304.2079758573;-1.0093456563;-250.0003149817;299.9996730946;-1.0120594233;0.000027194;4.2083027628;0.002713767;4.2083036379
26;-250.0002877877;304.2079758573;-1.0093456563;-250.0003263865;299.9996777807;-1.0210570149;3.85987923721132E-05;4.2082980766;0.0117113586;4.2083143727
26.5;-250.0003142087;304.3746617789;-1.0260577546;-250.0003365622;299.9996838422;-1.0312717195;2.23535268730757E-05;4.3749779367;0.0052139649;4.3749810436
27;-250.0003142087;304.3746617789;-1.0260577546;-250.0003460797;299.9996906751;-1.0433678713;0.000031871;4.3749711038;0.0173101168;4.3750053486
27.5;-250.0003375575;304.5413508637;-1.0500692252;-250.0003539575;299.9996971689;-1.0558470947;0.0000164;4.5416536948;0.0057778696;4.5416573702
28;-250.0003375575;304.5413508637;-1.0500692252;-250.0003626664;299.9997053409;-1.0730827066;2.51089115579362E-05;4.5416455228;0.0230134814;4.5417038296
28.5;-250.0003573655;304.7080413171;-1.081552432;-250.00036973;299.9997128756;-1.0906723106;1.23645431244768E-05;4.7083284415;0.0091198786;4.708337274
29;-250.0003573655;304.7080413171;-1.081552432;-250.0003760377;299.9997204328;-1.1100522101;1.86722529349481E-05;4.7083208843;0.0284997782;4.7084071391
29.5;-250.0003739028;304.8747323791;-1.1203200077;-250.0003811119;299.9997271902;-1.1288941827;7.20912933616091E-06;4.8750051889;0.008574175;4.8750127291
30;-250.0003739028;304.8747323791;-1.1203200077;-250.0003866012;299.999735323;-1.1536704922;1.26984573398659E-05;4.8749970561;0.0333504846;4.8751111323
30.5;-250.0003875924;305.0414235227;-1.1656502197;-250.0003909765;299.9997425394;-1.1778188801;3.38410325184668E-06;5.0416809833;0.0121686605;5.0416956685
