time,x,y,x_gt,y_gt,error_x,error_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,-250.1273683414008,299.86471831832574,-249.99999998366789,299.99999997479068,0.12736835773290522,0.13528165646494017
1.0,-249.69931398449182,299.99946742798363,-249.99999996032363,299.99999998014715,0.30068597583181145,0.00053255216351999479
1.5,-249.30571039953978,300.20344465685855,-250.00000009443787,300.00000024736011,0.69428969489808878,0.20344440949844511
2.0,-249.3505521402202,300.03816935217793,-250.00000045781411,300.00000074563405,0.64944831759390809,0.038168606543877104
2.5,-249.53876068628611,300.26004867529571,-250.00000103275869,300.00000131628025,0.46124034647257872,0.26004735901545928
3.0,-249.77247820116156,300.29317849682718,-250.00000177134049,300.00000175779002,0.22752357017893132,0.29317673903716468
3.5,-249.41088181787055,299.92213043073104,-250.00000263985885,300.00000189425219,0.58912082198830262,0.077871463521148598
4.0,-249.36145492102239,300.0152386625216,-250.0000036336744,300.0000015997702,0.63854871265201041,0.015237062751396024
4.5,-249.22648671682447,299.83091288682203,-250.00000476315137,300.00000077844828,0.77351804632689891,0.16908789162624771
5.0,-249.63681956149878,300.37404765728269,-250.0000060631329,299.99999938113342,0.36318650163411803,0.37404827614926717
5.5,-249.90460083857823,300.24727256189004,-250.00000757648721,299.99999738109869,0.095406737908973582,0.24727518079134825
6.0,-250.09378752442245,299.68440243467774,-250.00000934881251,299.99999476683155,0.093778175609941172,0.31559233215381255
6.5,-250.02615875099957,300.3989001047006,-250.0000114243627,299.99999153635895,0.026147326636873913,0.39890856834165334
7.0,-249.95448238503496,300.2178115572699,-250.00001384388366,299.99998769426981,0.045531458848699913,0.21782386300009193
7.5,-249.52239439064803,300.40868712695493,-250.00001664370814,299.99998325047255,0.47762225306010464,0.40870387648237738
8.0,-249.33604838058869,300.24479086634767,-250.00001985552061,299.9999782198143,0.66397147493191255,0.24481264653337576
8.5,-249.65717315817827,299.95749750387358,-250.00002350639278,299.99997262197076,0.34285034821451177,0.042475118097172526
9.0,-249.87646344448018,300.0533900770339,-250.00002761887202,299.99996648129473,0.12356417439184497,0.053423595739161556
