time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.5;0.0;0.0;0.0;-249.99999999856257;299.99999999776134;-1.0000000000000011;249.99999999856257;299.99999999776134;1.0000000000000011;353.5548048019749
1.0;-249.99999977173115;299.99999971413354;-0.99993457774176608;-249.99999998138568;299.99999998758517;-1.0000003907244248;2.0965453018106928e-07;2.7345163289282937e-07;6.581298265873059e-05;6.581365053301954e-05
1.5;-249.99999972298423;299.9999997722685;-1.0000059778881936;-250.00000007506884;300.00000019549071;-1.0000006754276924;3.5208461213187547e-07;4.2322221815993544e-07;5.3024605011220416e-06;5.325787689549737e-06
2.0;-249.99999990951179;300.0000000107496;-1.0001156060300287;-250.0000003655303;300.00000063213844;-0.99999982356962447;4.5601851184073894e-07;6.2138883549778257e-07;0.00011578246040422346;0.00011578425645579738
2.5;-250.00000062529543;300.00000046000872;-0.99994073007604822;-250.00000085931353;300.0000011759621;-0.99999897580067287;2.3401810267387191e-07;7.159533765843662e-07;5.8245724624650386e-05;5.82466648486878e-05
3.0;-250.00000150664749;300.00000072320159;-1.0000884415557632;-250.00000151978637;300.00000164197604;-0.99999851346583324;1.3138873100615456e-08;9.1877444674537401e-07;8.9928089929913746e-05;8.992809184955849e-05
3.5;-250.00000266020447;300.00000078388859;-1.0000267978189479;-250.00000231403195;300.00000185446362;-0.99999876360147644;3.4617252708812885e-07;1.0705750241868373e-06;2.803421747143986e-05;2.8038491758170678e-05
4.0;-250.00000460094969;300.00000039518943;-0.99996256461901611;-250.00000323454145;300.0000016814472;-1.0000004538573688;1.36640824166534e-06;1.2862577705163858e-06;3.7889238352684096e-05;3.793848344243994e-05
4.5;-250.00000634309168;299.99999965488058;-1.000311889414808;-250.00000428543319;300.00000101493987;-1.0000023581373871;2.0576584915943386e-06;1.3600592865259387e-06;0.00030953127742083808;0.00030954495573133135
5.0;-250.00000833384459;299.99999848551658;-0.9998587066064657;-250.00000549707602;299.99999979581236;-1.000004572533417;2.836768572933579e-06;1.3102957723276631e-06;0.00014586592695131628;0.00014592108537575887
5.5;-250.00001138748277;299.99999622137216;-0.99986982403839963;-250.00000690955071;299.9999979895008;-1.0000070561520586;4.4779320660381927e-06;1.7681286408333108e-06;0.00013723211365901378;0.000137378152449713
6.0;-250.0000139880631;299.99999398002052;-0.99985012861909417;-250.00000856727985;299.99999557882035;-1.0000097601288547;5.4207832533847977e-06;1.5987998267519288e-06;0.000159631509760505;0.000159815483262976
6.5;-250.00001686392349;299.99999126900207;-1.0002424970639108;-250.00001051454444;299.99999255776788;-1.0000126448104893;6.3493790491975233e-06;1.2887658158433624e-06;0.00022985225342142535;0.00023002758015405004
7.0;-250.00002113624782;299.99998692383406;-1.000001443217398;-250.00001279287412;299.99998892794275;-1.0000156767058812;8.3433737074756209e-06;2.0041086941091635e-06;1.4233488483172962e-05;1.8488265577003385e-05
7.5;-250.00002467358243;299.99998312156833;-0.99994312240338112;-250.00001543978138;299.99998469686653;-1.000018825850471;9.2338010517778457e-06;1.575298199441022e-06;7.5703447089847664e-05;7.682146877672278e-05
8.0;-250.00002849936772;299.99997886148168;-1.000006424414535;-250.00001848830956;299.99997987731058;-1.0000220642727147;1.0011058151349062e-05;1.0158289001083176e-06;1.563985817965019e-05;2.1096154495522542e-05
8.5;-250.00003404720732;299.99997248335023;-0.99995109451568498;-250.00002196696022;299.99997448673804;-1.0000253646362269;1.208024710308564e-05;2.0033878058711707e-06;7.42701205419527e-05;7.620968144179191e-05
