time,x,y,x_gt,y_gt,error_x,error_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,-251.15633052141254,299.44653731376525,-249.99999998347567,299.99999997428381,1.1563305379368671,0.55346266051856219
1.0,-251.26378129787676,299.14942616390533,-249.99999995791981,299.99999997011361,1.2637813399569495,0.85057380620827416
1.5,-251.12057383867753,299.04588968951816,-250.00000009526761,300.00000023422882,1.1205737434099206,0.95411054471065881
2.0,-251.10843098807919,299.07792490736875,-250.00000046525216,300.00000073297025,1.1084305228270352,0.92207582560149604
2.5,-251.08100297161138,299.34454609599226,-250.00000104844136,300.00000130536682,1.081001923170021,0.65545520937456558
3.0,-251.58078932020754,299.8762486767161,-250.0000017954776,300.00000174789227,1.5807875247299421,0.12375307117616785
3.5,-251.47019135327798,299.63989902519,-250.00000267182995,300.00000188348196,1.470188681448036,0.36010285829195254
4.0,-251.30075831147374,299.37843396640756,-250.00000367325146,300.00000158697497,1.300754638222287,0.62156762056741854
4.5,-251.13485616918095,299.15594219113825,-250.00000480943311,300.00000076154782,1.1348513597478416,0.84405857040957244
5.0,-250.89487435487396,299.29597322982158,-250.00000611554586,299.99999935868101,0.89486823932810466,0.70402612885942517
5.5,-251.28585293840038,298.90183083982089,-250.00000763473031,299.99999735219524,1.2858453036700723,1.0981665123743483
6.0,-250.90277266515719,298.43750792730788,-250.00000941276704,299.9999947309841,0.90276325239014454,1.5624868036762223
6.5,-251.05006696964861,298.46236617433442,-250.00001149400518,299.99999149334326,1.0500554756434326,1.5376253190088391
7.0,-251.34977394594819,298.3522143320597,-250.00001391922285,299.99998764402773,1.3497600267253347,1.6477733119680238
7.5,-251.28227686913087,298.63221340351419,-250.00001672474662,299.99998319304871,1.282260144384253,1.3677697895345204
8.0,-250.64015678461223,298.91681657002789,-250.0000199422374,299.99997815532265,0.64013684237482948,1.0831615852947607
8.5,-250.30640893989695,299.18271350642027,-250.00002359873818,299.99997255058139,0.30638534115877292,0.81725904416111916
9.0,-249.71582379094437,299.38577100174535,-250.00002771676782,299.99996640322775,0.28420392582344789,0.61419540148239093
9.5,-249.9031482528321,299.38951662802293,-250.0000323143789,299.99995974203546,0.096884061546802513,0.61044311401252571
10.0,-249.3918053037512,299.31897608595983,-250.00003740517298,299.99995259969734,0.60823210142177686,0.68097651373750523
10.5,-248.97670854081431,299.07138813855437,-250.00004299829877,299.99994501227832,1.0233344574844523,0.92855687372394868
11.0,-248.49306683646461,299.07403095629354,-250.00004909845993,299.99993701863048,1.5069822619953186,0.92590606233693507
11.5,-247.96285739121791,299.08581668895579,-250.00005570595474,299.99992865981193,2.0371983147368269,0.91411197085614049
12.0,-247.91680915079746,299.37578467641896,-250.00006281675616,299.99991997853715,2.0832536659586935,0.62413530211819079
12.5,-247.48590635974779,299.28178947248961,-250.00007042263383,299.9999110186701,2.5141640628860387,0.71812154618049817
13.0,-247.56869804533906,299.81843140502434,-250.00007851131477,299.99990182475847,2.4313804659757068,0.1814704197341257
